trial_id,pt_test_acc,pt_uniform_accuracy,pt_gaussian_accuracy,pt_saltandpepper_accuracy,pt_spatial_accuracy,tf_test_acc,tf_uniform_accuracy,tf_gaussian_accuracy,tf_saltandpepper_accuracy,tf_spatial_accuracy,average_res,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.learning_rate,config.dropout,config.epochs,config.batch_size
3642dbd8,0.848116303101564,0.8366698873027986,0.8378067014873246,0.8404998030119745,0.01643401643401642,0.8216999769210815,0.808851919854841,0.8099957228486927,0.8147577047284934,0.01953058915084229,0.6654362624841629,0.010068655014038086,True,,,2,f9fa71d7a2f944d9815c5eefac4393fb,2020-11-14_02-20-38,1605320438,329.6027534008026,201699,thetagpu16,140.221.68.26,329.6027534008026,0,2,"1_batch_size=259,dropout=0.67642,epochs=64,learning_rate=0.049666",0.04966571354069675,0.6764165211269217,64,259
3647d05c,0.9681971694669153,0.9672950782074217,0.9674479763925201,0.9650583051745842,0.0,0.9656000137329102,0.9646378351655633,0.9648901171709757,0.9620188166699795,0.0,0.772514531198087,0.009987354278564453,True,,,2,8d52b71dd09e41968e6bd6f17fbfbb0f,2020-11-14_02-25-16,1605320716,606.8553600311279,201849,thetagpu16,140.221.68.26,606.8553600311279,0,2,"2_batch_size=86,dropout=0.49021,epochs=66,learning_rate=0.010307",0.010307303894966648,0.4902054060966244,66,86
36496d04,0.7510804766458823,0.7456716842242764,0.746032825430488,0.7449186663900479,0.0025971431425432013,0.7512999773025513,0.746061767952688,0.7464906551511287,0.7455168545369324,0.008990110878034153,0.5988660161654572,0.011536598205566406,True,,,2,9ec3954d556d4712a1358d82e382c030,2020-11-14_02-30-55,1605321055,945.9507732391357,201655,thetagpu16,140.221.68.26,945.9507732391357,0,2,"3_batch_size=71,dropout=0.66017,epochs=93,learning_rate=0.034643",0.034643059458848026,0.6601677428253875,93,71
364b092a,0.8821725303476508,0.8723061884352208,0.8734557109557111,0.8747340025565833,0.00938416422287389,0.8851000070571899,0.8773375817730656,0.8782004286036543,0.8791506880216557,0.004789833822091867,0.7036631135795697,0.01011037826538086,True,,,2,099a7bb1f951418cba3ae9c2bb769938,2020-11-14_02-20-30,1605320430,321.1673786640167,201779,thetagpu16,140.221.68.26,321.1673786640167,0,2,"4_batch_size=310,dropout=0.73329,epochs=90,learning_rate=0.037409",0.03740921796324348,0.7332937387265674,90,310
364c92ae,0.873890642608915,0.8637814525746462,0.8651945936370079,0.8658631662048796,0.004448252329977624,0.8899999856948853,0.8805825553968794,0.881434092947744,0.882794036861473,0.006520450503852973,0.7014509228760261,0.010522842407226562,True,,,2,df8880cac82a44a1b41ac362c8bad808,2020-11-14_02-21-05,1605320465,356.33905696868896,201792,thetagpu16,140.221.68.26,356.33905696868896,0,2,"5_batch_size=241,dropout=0.55198,epochs=83,learning_rate=0.050801",0.05080099865586416,0.5519799501881035,83,241
364e1e3a,0.8633359554337292,0.8508821037341886,0.85228166797797,0.8552699267687465,0.008172698662470487,0.8816999793052673,0.8736549052835441,0.8745793742056527,0.8751429825092295,0.0037372147915027505,0.6938756808672301,0.010480642318725586,True,,,2,b3ca56583150486d98558a8bad79e412,2020-11-14_02-20-14,1605320414,304.84518814086914,201812,thetagpu16,140.221.68.26,304.84518814086914,0,2,"6_batch_size=248,dropout=0.57333,epochs=56,learning_rate=0.052134",0.05213383068265585,0.5733275719381445,56,248
364f9c06,0.9560406684423938,0.9556036069193963,0.9555422647527911,0.9512253097779413,0.0,0.9589999914169312,0.9583179977916821,0.9584176788124156,0.9545684578579315,0.0,0.7648715975771483,0.23631548881530762,True,,,2,d09a8c74dd2a42f1ac1b431b00c2c3f0,2020-11-14_02-38-46,1605321526,1417.160159111023,201777,thetagpu16,140.221.68.26,1417.160159111023,0,2,"7_batch_size=38,dropout=0.7242,epochs=91,learning_rate=0.0046202",0.004620151446609926,0.7242048455093806,91,38
365126c0,0.9670634931988187,0.9662316849816849,0.9662774725274724,0.9629731379731379,0.0,0.9625999927520752,0.9617292429792431,0.9619505494505495,0.9583257020757022,0.0,0.7707151275938684,0.011782407760620117,True,,,2,fdf31c6a99ed49848c6964663d2beea7,2020-11-14_02-21-34,1605320494,384.9432165622711,201448,thetagpu16,140.221.68.26,384.9432165622711,0,2,"8_batch_size=160,dropout=0.73854,epochs=83,learning_rate=0.0069962",0.0069962110033358095,0.7385411456663566,83,160
36529bfe,0.8964886466662089,0.8903053325057046,0.890836120307287,0.8905722676650127,0.002994908655286013,0.8980000019073486,0.8912704307336249,0.8921987009948743,0.8914719300050153,0.0013976240391334728,0.7145535963479496,0.01041269302368164,True,,,2,3ba8d7d1e10c4da5ae46cc8774c3aa0c,2020-11-14_02-27-46,1605320866,449.6982834339142,201772,thetagpu16,140.221.68.26,449.6982834339142,0,2,"9_batch_size=159,dropout=0.8226,epochs=81,learning_rate=0.017178",0.01717774885099192,0.8225964937891634,81,159
ede6f850,0.9609147325158119,0.9595905769552946,0.9599486771395801,0.9570162184105054,0.0,0.9580000042915344,0.9573450004510484,0.9575342796757607,0.9535184994265242,0.0,0.766386798886606,0.010265588760375977,True,,,2,1588074ea45247e2b4edac667719e489,2020-11-14_02-25-05,1605320705,272.22885632514954,201618,thetagpu16,140.221.68.26,272.22885632514954,0,2,"10_batch_size=254,dropout=0.74045,epochs=81,learning_rate=0.010085",0.010084669641359408,0.7404544832815891,81,254
