trial_id,tf_test_acc,average_res,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.learning_rate,config.dropout,config.epochs,config.batch_size
88336cd2,0.04670000076293945,0.04670000076293945,0.0072782039642333984,True,,,2,aa5682edd2ed4506b9ab1de9193b4a00,2020-11-13_09-36-29,1605260189,72.79968404769897,169367,thetagpu13,140.221.68.23,72.79968404769897,0,2,"6_batch_size=141,dropout=0.41961,epochs=26,learning_rate=0.085019",0.08501931898555631,0.41960828504080666,26,141
883588c8,0.04670000076293945,0.04670000076293945,0.006961822509765625,True,,,2,1bed32d58ce24b4bbaafaaf8cc4a955d,2020-11-13_09-37-00,1605260220,103.10364389419556,169154,thetagpu13,140.221.68.23,103.10364389419556,0,2,"7_batch_size=225,dropout=0.41905,epochs=50,learning_rate=0.058488",0.05848830947967039,0.4190488936718158,50,225
88379eb0,0.04670000076293945,0.04670000076293945,0.008363485336303711,True,,,2,92560cab40cb484d9a058f110dc1c161,2020-11-13_09-36-15,1605260175,57.81387972831726,169536,thetagpu13,140.221.68.23,57.81387972831726,0,2,"8_batch_size=66,dropout=0.4329,epochs=13,learning_rate=0.073029",0.07302852968210431,0.43290296596038463,13,66
8839c032,0.04670000076293945,0.04670000076293945,0.00773930549621582,True,,,2,c21d3814f9f442a3aa3ce644232cb382,2020-11-13_09-36-55,1605260215,65.9101915359497,169509,thetagpu13,140.221.68.23,65.9101915359497,0,2,"9_batch_size=219,dropout=0.31924,epochs=33,learning_rate=0.040384",0.04038367837679121,0.31924401158256516,33,219
9bab08d8,0.04670000076293945,0.04670000076293945,0.006952047348022461,True,,,2,b5536eca6a8c44929da72904d673ce26,2020-11-13_09-36-36,1605260196,43.09924674034119,169488,thetagpu13,140.221.68.23,43.09924674034119,0,2,"10_batch_size=206,dropout=0.37612,epochs=19,learning_rate=0.075879",0.0758790441478317,0.37612263114654676,19,206
ca7e3400,0.04670000076293945,0.04670000076293945,0.009576797485351562,True,,,2,e1a597f17c8c4755acb743b9e58f3d7d,2020-11-13_09-38-09,1605260289,61.3665611743927,169135,thetagpu13,140.221.68.23,61.3665611743927,0,2,"1_batch_size=191,dropout=0.53255,epochs=25,learning_rate=0.025462",0.02546188980759962,0.5325497328878056,25,191
ca92eddc,0.04670000076293945,0.04670000076293945,0.007760047912597656,True,,,2,ee57c49e5a5d4352810b10af94f96f50,2020-11-13_09-38-16,1605260296,68.18157505989075,169345,thetagpu13,140.221.68.23,68.18157505989075,0,2,"2_batch_size=126,dropout=0.27048,epochs=22,learning_rate=0.022779",0.022778568473687866,0.27048396637963446,22,126
ca94ede4,0.04670000076293945,0.04670000076293945,0.008801937103271484,True,,,2,457ff989e66845e782d40553244d4588,2020-11-13_09-38-13,1605260293,65.49170351028442,169291,thetagpu13,140.221.68.23,65.49170351028442,0,2,"3_batch_size=252,dropout=0.54526,epochs=30,learning_rate=0.0036416",0.003641634202172922,0.545256291724971,30,252
ca968492,0.04670000076293945,0.04670000076293945,0.006204843521118164,True,,,2,d418df4533324d9eb2b684a3e570129f,2020-11-13_09-38-42,1605260322,94.48059225082397,169277,thetagpu13,140.221.68.23,94.48059225082397,0,2,"4_batch_size=145,dropout=0.60696,epochs=35,learning_rate=0.0047326",0.004732556096633124,0.606961146160169,35,145
ca983f30,0.04670000076293945,0.04670000076293945,0.007277250289916992,True,,,2,6ce6171afc0a4fedb18e2b66a397cc32,2020-11-13_09-38-40,1605260320,91.54177784919739,169528,thetagpu13,140.221.68.23,91.54177784919739,0,2,"5_batch_size=75,dropout=0.37276,epochs=24,learning_rate=0.054945",0.054944864969388954,0.37275869598153905,24,75
ca9a1490,0.04670000076293945,0.04670000076293945,0.00746607780456543,True,,,2,406f01e4a5754245aacbb254a4aa9d11,2020-11-13_09-38-52,1605260332,103.86574363708496,169276,thetagpu13,140.221.68.23,103.86574363708496,0,2,"6_batch_size=267,dropout=0.34044,epochs=54,learning_rate=0.042305",0.04230539698522615,0.3404350526769334,54,267
ca9c46fc,0.04670000076293945,0.04670000076293945,0.007199525833129883,True,,,2,1ce8d42a41214b8f9394ba7684303f20,2020-11-13_09-38-22,1605260302,73.52462530136108,169516,thetagpu13,140.221.68.23,73.52462530136108,0,2,"7_batch_size=313,dropout=0.2458,epochs=36,learning_rate=0.0038199",0.0038198989606376505,0.2458024993960605,36,313
ca9e7be8,0.04670000076293945,0.04670000076293945,0.006611347198486328,True,,,2,57cce2c7e07441a996503a1e1aab9de9,2020-11-13_09-38-58,1605260338,110.2227258682251,169391,thetagpu13,140.221.68.23,110.2227258682251,0,2,"8_batch_size=209,dropout=0.2494,epochs=52,learning_rate=0.0046891",0.00468906398748492,0.24940278742078126,52,209
caa084ec,0.04670000076293945,0.04670000076293945,0.006615161895751953,True,,,2,feff1b189ac3441496794c752efe9139,2020-11-13_09-40-23,1605260423,130.80462741851807,169175,thetagpu13,140.221.68.23,130.80462741851807,0,2,"9_batch_size=141,dropout=0.20384,epochs=52,learning_rate=0.052967",0.05296726313920517,0.20384346064509268,52,141
f0f2f1fc,0.04670000076293945,0.04670000076293945,0.007838964462280273,True,,,2,4e6de0446f884969b40caaa1f008d44d,2020-11-13_09-40-08,1605260408,111.91104412078857,169501,thetagpu13,140.221.68.23,111.91104412078857,0,2,"10_batch_size=263,dropout=0.62562,epochs=63,learning_rate=0.053328",0.053328382194950945,0.6256220483590968,63,263
